onset	duration	run_num	is_pre	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category	irrelevant_category
4	2	1	1	1	1	9	13	19	2	2
16	2	1	1	2	1	3	13	9	2	3
28	2	1	1	3	1	2	16	19	3	2
40	2	1	1	4	1	7	13	7	2	1
52	2	1	1	5	1	1	18	9	1	3
64	2	1	1	6	1	6	16	9	3	3
76	2	1	1	7	1	8	18	19	1	2
88	2	1	1	8	1	4	18	7	1	1
100	2	1	1	9	1	5	16	7	3	1
112	2	1	1	10	1	9	13	19	2	2
124	2	1	1	11	1	5	16	7	3	1
136	2	1	1	12	1	4	18	7	1	1
148	2	1	1	13	1	8	18	19	1	2
160	2	1	1	14	1	6	16	9	3	3
172	2	1	1	15	1	7	13	7	2	1
184	2	1	1	16	1	3	13	9	2	3
196	2	1	1	17	1	2	16	19	3	2
208	2	1	1	18	1	1	18	9	1	3
