onset	duration	run_num	is_pre	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category	irrelevant_category
4	2	4	0	1	1	1	16	2	3	3
16	2	4	0	2	1	7	19	7	1	1
28	2	4	0	3	1	2	19	2	1	3
40	2	4	0	4	1	3	16	7	3	1
52	2	4	0	5	1	4	10	18	2	2
64	2	4	0	6	1	9	19	18	1	2
76	2	4	0	7	1	5	10	2	2	3
88	2	4	0	8	1	3	16	7	3	1
100	2	4	0	9	1	6	16	18	3	2
112	2	4	0	10	1	7	19	7	1	1
124	2	4	0	11	1	4	10	18	2	2
136	2	4	0	12	1	5	10	2	2	3
148	2	4	0	13	1	6	16	18	3	2
160	2	4	0	14	1	8	10	7	2	1
172	2	4	0	15	1	1	16	2	3	3
184	2	4	0	16	1	9	19	18	1	2
196	2	4	0	17	1	8	10	7	2	1
208	2	4	0	18	1	2	19	2	1	3
