onset	duration	run_num	is_pre	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category	irrelevant_category
4	2	3	0	1	1	9	13	19	2	2
16	2	3	0	2	1	6	16	9	3	3
28	2	3	0	3	1	4	18	7	1	1
40	2	3	0	4	1	9	13	19	2	2
52	2	3	0	5	1	3	13	9	2	3
64	2	3	0	6	1	5	16	7	3	1
76	2	3	0	7	1	3	13	9	2	3
88	2	3	0	8	1	2	16	19	3	2
100	2	3	0	9	1	1	18	9	1	3
112	2	3	0	10	1	7	13	7	2	1
124	2	3	0	11	1	1	18	9	1	3
136	2	3	0	12	1	8	18	19	1	2
148	2	3	0	13	1	6	16	9	3	3
160	2	3	0	14	1	7	13	7	2	1
172	2	3	0	15	1	4	18	7	1	1
184	2	3	0	16	1	2	16	19	3	2
196	2	3	0	17	1	8	18	19	1	2
208	2	3	0	18	1	5	16	7	3	1
