onset	duration	run_num	is_pre	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category	irrelevant_category
4	2	2	1	1	1	4	10	19	3	3
16	2	2	1	2	1	1	7	11	1	1
28	2	2	1	3	1	4	10	19	3	3
40	2	2	1	4	1	6	2	11	2	1
52	2	2	1	5	1	9	2	19	2	3
64	2	2	1	6	1	8	7	13	1	2
76	2	2	1	7	1	6	2	11	2	1
88	2	2	1	8	1	3	10	11	3	1
100	2	2	1	9	1	9	2	19	2	3
112	2	2	1	10	1	5	7	19	1	3
124	2	2	1	11	1	2	10	13	3	2
136	2	2	1	12	1	5	7	19	1	3
148	2	2	1	13	1	8	7	13	1	2
160	2	2	1	14	1	7	2	13	2	2
172	2	2	1	15	1	3	10	11	3	1
184	2	2	1	16	1	2	10	13	3	2
196	2	2	1	17	1	7	2	13	2	2
208	2	2	1	18	1	1	7	11	1	1
