onset	duration	run_num	is_pre	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category	irrelevant_category
4	2	1	1	1	1	6	13	7	1	2
16	2	1	1	2	1	7	1	2	3	3
28	2	1	1	3	1	2	11	7	2	2
40	2	1	1	4	1	4	13	2	1	3
52	2	1	1	5	1	8	13	9	1	1
64	2	1	1	6	1	1	1	7	3	2
76	2	1	1	7	1	3	1	9	3	1
88	2	1	1	8	1	9	11	2	2	3
100	2	1	1	9	1	1	1	7	3	2
112	2	1	1	10	1	3	1	9	3	1
124	2	1	1	11	1	5	11	9	2	1
136	2	1	1	12	1	9	11	2	2	3
148	2	1	1	13	1	7	1	2	3	3
160	2	1	1	14	1	8	13	9	1	1
172	2	1	1	15	1	2	11	7	2	2
184	2	1	1	16	1	4	13	2	1	3
196	2	1	1	17	1	5	11	9	2	1
208	2	1	1	18	1	6	13	7	1	2
