onset	duration	run_num	is_pre	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category	irrelevant_category
4	2	3	0	1	1	4	13	2	1	3
16	2	3	0	2	1	6	13	7	1	2
28	2	3	0	3	1	9	11	2	2	3
40	2	3	0	4	1	5	11	9	2	1
52	2	3	0	5	1	3	1	9	3	1
64	2	3	0	6	1	6	13	7	1	2
76	2	3	0	7	1	9	11	2	2	3
88	2	3	0	8	1	5	11	9	2	1
100	2	3	0	9	1	8	13	9	1	1
112	2	3	0	10	1	2	11	7	2	2
124	2	3	0	11	1	8	13	9	1	1
136	2	3	0	12	1	7	1	2	3	3
148	2	3	0	13	1	1	1	7	3	2
160	2	3	0	14	1	4	13	2	1	3
172	2	3	0	15	1	3	1	9	3	1
184	2	3	0	16	1	2	11	7	2	2
196	2	3	0	17	1	7	1	2	3	3
208	2	3	0	18	1	1	1	7	3	2
